,crh1,crh2,crh3,crh4,crh5,crh6,crh7,crh8,crh9,crh10,rf1,rf2,rf3,rf4,rf5,rf6,rf7,rf8,rf9,rf10
196,3.0,23.0,18.0,15.0,10.0,13.0,9.0,23.0,9.0,16.0,1.7349999,96.600006,5.8099995,4.91,1.4349998,10.285001,2.01,34.344997,9.42,7.5149994
197,1.0,12.0,16.0,7.0,13.0,2.0,11.0,10.0,16.0,7.0,1.105,12.759999,17.395,6.0650005,26.05,0.62,24.650002,7.755,52.55,26.829998
198,18.0,23.0,23.0,15.0,10.0,21.0,21.0,13.0,18.0,7.0,24.425,18.154997,15.329999,4.1499996,22.965,126.175,55.835,9.924999,17.644999,1.1949999
199,44.0,40.0,34.0,30.0,28.0,25.0,35.0,34.0,16.0,23.0,51.820007,12.184999,27.825,15.225,20.215,13.664998,10.82,6.1549997,1.7749999,4.1599994
200,16.0,14.0,9.0,0.0,7.0,0.0,10.0,9.0,23.0,12.0,23.005,5.48,1.48,0.0,1.1850001,0.0,1.2449999,6.0149994,16.294998,20.2
201,3.0,4.0,16.0,21.0,19.0,2.0,7.0,15.0,13.0,33.0,0.92499995,0.955,15.545,10.955,4.6150002,0.525,0.695,8.255,7.795,30.654999
202,30.0,33.0,16.0,11.0,24.0,34.0,44.0,9.0,13.0,27.0,10.045,4.870001,1.5699999,0.78999996,3.145,4.375,24.015,6.275,17.3,51.835007
203,12.0,21.0,12.0,19.0,3.0,0.0,2.0,13.0,10.0,22.0,25.244999,12.04,20.189999,22.410004,1.07,0.0,0.335,6.8100004,2.2399998,35.300003
204,17.0,25.0,19.0,26.0,23.0,22.0,5.0,21.0,21.0,31.0,17.235,4.845,2.9249997,88.36,20.43,12.620001,1.3399999,25.704994,14.4,50.760002
205,30.0,24.0,31.0,12.0,31.0,42.0,18.0,41.0,28.0,30.0,16.835003,12.555,8.655001,66.505005,31.479996,54.655,4.13,55.525005,30.435001,96.494995
206,19.0,37.0,28.0,18.0,13.0,26.0,13.0,28.0,21.0,30.0,6.875,23.390001,5.8049994,11.500001,11.995,14.405001,3.9199996,47.359997,11.790001,48.145004
207,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.114999995,0.0,0.0,0.0,0.0,0.0,0.0,0.17499998,0.0,0.0
208,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,11.0,0.0,0.0,0.03,0.0,0.0,0.0,1.0699999,0.0,0.015,4.714999
209,0.0,2.0,17.0,9.0,11.0,3.0,1.0,7.0,6.0,11.0,0.0,1.155,17.805,2.4099998,2.9850001,0.315,0.16,1.5,9.434999,32.780003
210,13.0,14.0,1.0,0.0,3.0,17.0,29.0,23.0,21.0,16.0,8.145,3.6150002,0.089999996,0.0,0.65999997,21.749998,21.765,5.92,2.465,2.94
211,0.0,1.0,6.0,15.0,15.0,14.0,6.0,12.0,23.0,23.0,0.0,0.07,1.35,4.8349996,2.8049996,3.4700003,1.075,5.0249996,22.69,82.915
212,7.0,9.0,8.0,15.0,13.0,20.0,2.0,12.0,21.0,26.0,1.11,1.4499999,1.865,3.9299998,8.61,5.959999,0.105000004,5.9500003,12.73,112.149994
213,17.0,1.0,1.0,10.0,14.0,17.0,4.0,3.0,17.0,26.0,8.775,0.14999999,0.215,7.37,11.834999,5.439999,0.31,0.27499998,18.72,76.759995
214,0.0,0.0,0.0,5.0,1.0,2.0,8.0,16.0,16.0,27.0,0.0,0.0,0.0,7.325,0.14,0.34499997,5.5899997,15.644999,29.345001,20.759998
215,0.0,4.0,4.0,13.0,0.0,6.0,6.0,11.0,30.0,42.0,0.0,1.165,0.45,3.045,0.0,2.215,1.75,6.3,68.600006,70.69499
216,1.0,0.0,11.0,0.0,3.0,5.0,9.0,14.0,43.0,27.0,0.044999998,0.0,7.3650007,0.0,0.40500003,3.1599998,1.2999998,17.55,53.524994,112.73
217,0.0,0.0,3.0,2.0,10.0,2.0,12.0,24.0,40.0,32.0,0.0,0.0,2.8799999,0.36,5.1749997,0.034999996,5.16,55.659996,47.039997,106.43001
218,2.0,1.0,17.0,5.0,11.0,27.0,33.0,48.0,28.0,7.0,0.59000003,0.275,10.325,0.65,2.005,13.094999,59.085007,108.345,47.615,2.315
219,15.0,16.0,21.0,31.0,39.0,21.0,30.0,33.0,36.0,37.0,3.42,2.7950003,11.179999,16.434998,43.925003,6.6400003,13.955,7.3549995,22.09,30.449999
220,28.0,22.0,22.0,7.0,22.0,4.0,8.0,13.0,14.0,18.0,49.409996,8.650001,10.91,6.95,10.36,0.63,1.86,3.0549998,3.325,9.45
221,7.0,7.0,12.0,2.0,4.0,13.0,14.0,13.0,8.0,20.0,5.2449994,2.1,8.83,0.995,3.85,6.054999,4.4249997,29.085,4.415,84.024994
222,21.0,12.0,15.0,19.0,31.0,21.0,9.0,20.0,24.0,33.0,3.27,1.575,33.26,13.110001,13.919998,9.245,1.8599999,2.3199997,5.58,6.334999
223,11.0,14.0,37.0,20.0,13.0,11.0,8.0,3.0,16.0,24.0,1.84,4.06,41.170006,10.919999,18.645,3.2649999,21.205,0.41000003,8.855,50.780006
224,24.0,27.0,0.0,22.0,7.0,28.0,15.0,14.0,11.0,4.0,9.715001,18.119999,0.0,10.04,1.015,33.18,4.055,4.1949997,1.5999999,0.60999995
225,18.0,6.0,20.0,10.0,11.0,1.0,1.0,13.0,4.0,19.0,10.0599985,2.7099998,10.31,1.5449998,3.5700002,0.22,0.099999994,4.4399996,1.295,5.87
226,11.0,20.0,21.0,8.0,5.0,8.0,17.0,4.0,5.0,12.0,2.685,6.125,4.325,1.2249999,0.58,1.455,5.0899997,1.76,0.76,21.285
227,5.0,1.0,0.0,8.0,0.0,0.0,14.0,6.0,0.0,13.0,21.374998,0.21000001,0.0,5.24,0.0,0.0,32.27,2.355,0.0,1.46
228,8.0,1.0,6.0,0.0,0.0,3.0,3.0,1.0,22.0,46.0,2.27,0.175,0.585,0.0,0.0,4.835,0.105000004,0.005,8.934999,26.715002
229,0.0,1.0,0.0,2.0,23.0,6.0,20.0,5.0,43.0,24.0,0.0,1.115,0.0,0.34499997,15.695002,0.35500002,3.9500003,0.595,23.66,14.99
230,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.0,44.0,16.0,0.0,0.19,0.0,0.0,0.035,0.0,0.0,7.74,61.609993,11.125
231,7.0,0.0,0.0,2.0,3.0,0.0,4.0,11.0,43.0,17.0,4.4349995,0.0,0.0,1.4300001,0.325,0.0,0.36,8.565,33.334995,10.190001
232,14.0,12.0,13.0,19.0,5.0,5.0,6.0,4.0,15.0,8.0,4.715,1.9649999,6.1700006,11.524999,0.88,0.59000003,0.55,0.45,2.525,0.57
233,21.0,29.0,18.0,23.0,15.0,9.0,19.0,17.0,20.0,16.0,2.18,3.8849995,9.875001,13.889999,1.47,1.5,2.1699998,4.335,2.6399999,3.58
234,17.0,20.0,24.0,12.0,2.0,15.0,6.0,0.0,16.0,25.0,8.2,2.2500002,8.6050005,0.545,0.16499999,1.4799995,0.61,0.0,23.744997,52.910004
235,0.0,16.0,0.0,0.0,11.0,6.0,15.0,8.0,16.0,5.0,0.0,18.754997,0.0,0.0,12.759999,2.66,66.604996,6.7799997,9.964999,1.0849999
236,10.0,5.0,17.0,9.0,22.0,24.0,21.0,28.0,16.0,32.0,13.289999,5.1249995,7.0700006,5.72,21.630001,32.975,13.950001,29.884995,14.169998,30.134998
237,24.0,16.0,14.0,11.0,10.0,2.0,0.0,29.0,19.0,16.0,45.445,5.5849996,5.1800003,5.865,5.5199995,0.26999998,0.0,21.620005,13.360001,6.2800007
238,19.0,16.0,22.0,35.0,43.0,18.0,19.0,26.0,24.0,12.0,7.4050007,8.53,24.34,26.495,43.45,5.6899996,54.125,47.129997,18.069998,1.275
239,20.0,14.0,0.0,16.0,10.0,3.0,9.0,8.0,24.0,1.0,9.739999,16.835,0.0,7.825,2.3049998,0.295,2.1250002,4.875,55.95999,0.21000001
240,0.0,21.0,8.0,3.0,12.0,6.0,23.0,9.0,23.0,0.0,0.0,15.42,1.4699999,0.32999998,5.175,2.6899998,43.3,3.795,92.495,0.0
241,3.0,0.0,3.0,11.0,6.0,16.0,32.0,29.0,9.0,7.0,0.595,0.0,3.1,4.24,1.3899999,19.284998,99.66498,38.614998,15.559999,5.92
242,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34,0.19999999,0.33499998,0.0,0.0,0.0,0.0
243,5.0,2.0,1.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.27999997,0.08,0.049999997,0.0,0.0,0.0,0.505,0.22999999,0.0,0.0
244,8.0,10.0,19.0,0.0,2.0,7.0,6.0,13.0,4.0,16.0,0.54999995,1.6399999,27.72,0.0,0.055,1.245,0.43499994,3.6099997,0.565,5.1749997
245,7.0,7.0,4.0,1.0,22.0,7.0,8.0,6.0,0.0,3.0,2.185,4.23,0.9,0.235,41.635002,1.845,5.9750004,1.1099999,0.0,0.255
246,5.0,7.0,2.0,10.0,3.0,3.0,23.0,18.0,17.0,25.0,1.0799999,1.4899999,0.08,1.14,0.145,0.21000001,8.48,4.9350004,5.705,7.8500004
247,0.0,0.0,0.0,0.0,2.0,4.0,2.0,14.0,7.0,2.0,0.0,0.0,0.0,0.0,0.034999996,0.46499997,0.08499999,2.2350004,0.53999996,0.26999998
248,6.0,6.0,4.0,4.0,0.0,4.0,16.0,19.0,17.0,22.0,3.125,0.81499994,1.54,0.615,0.0,1.375,23.255003,43.004993,9.91,37.670002
249,7.0,5.0,20.0,9.0,14.0,19.0,25.0,19.0,22.0,14.0,0.625,0.61,2.28,6.6199994,8.945,6.84,6.0549994,7.4750004,11.419999,2.58
250,27.0,30.0,27.0,12.0,22.0,28.0,24.0,32.0,26.0,29.0,18.839998,17.715,16.419996,1.6800001,6.5,5.6099997,10.150001,33.725,21.080002,10.190001
251,9.0,3.0,3.0,7.0,30.0,28.0,28.0,24.0,9.0,0.0,1.3100001,0.13499999,0.35,12.025002,23.910002,84.885,15.379999,31.939997,1.595,0.0
252,1.0,1.0,19.0,25.0,5.0,8.0,2.0,4.0,0.0,12.0,0.24499999,0.065,12.365002,47.87,1.9299998,2.0749998,0.355,1.8449998,0.0,6.37
253,0.0,4.0,17.0,37.0,16.0,12.0,13.0,7.0,11.0,6.0,0.0,1.1999999,39.140003,66.14999,10.009998,4.21,1.36,1.005,6.2,1.76
254,7.0,11.0,6.0,9.0,9.0,12.0,10.0,12.0,20.0,35.0,1.005,6.2,1.76,5.9,2.2549999,2.7549999,4.805,3.0749998,22.079998,50.189995
255,14.0,4.0,9.0,12.0,21.0,29.0,6.0,2.0,14.0,1.0,6.42,0.56999993,9.74,21.09,33.795,13.460001,5.15,0.725,15.559999,0.16499999
256,13.0,17.0,29.0,30.0,35.0,45.0,17.0,35.0,25.0,3.0,1.7749999,3.185,10.605,20.210001,53.905,25.554996,4.9449997,27.599997,34.315002,1.5899999
257,1.0,2.0,0.0,0.0,8.0,1.0,0.0,4.0,12.0,32.0,0.35999998,0.01,0.0,0.0,2.765,0.24499999,0.0,0.44,8.754999,12.624999
258,24.0,13.0,1.0,5.0,0.0,9.0,5.0,25.0,11.0,17.0,27.204998,5.9999995,0.215,14.914999,0.0,3.67,1.8249998,21.174997,17.545,17.14
259,23.0,25.0,1.0,10.0,4.0,8.0,6.0,7.0,0.0,0.0,7.975,12.890001,0.78499997,5.605,0.525,1.7400001,0.88,6.865,0.0,0.0
260,0.0,0.0,0.0,8.0,37.0,29.0,21.0,8.0,0.0,4.0,0.0,0.0,0.0,10.635,86.57999,17.039999,74.78002,3.4850001,0.0,0.575
261,0.0,0.0,7.0,35.0,29.0,24.0,7.0,0.0,4.0,5.0,0.0,0.0,17.345,107.115005,18.174997,53.344997,2.5849998,0.0,0.585,0.79999995
262,1.0,8.0,0.0,0.0,13.0,10.0,4.0,0.0,1.0,1.0,0.24,0.39000005,0.0,0.0,2.3249998,0.6,0.17999999,0.0,0.044999998,0.049999997
